state_code,state_name,district_code,district_name,total_households,total_population,total_population_male,total_population_female,total_population_SC,total_population_male_SC,total_population_female_SC,total_population_ST,total_population_male_ST,total_population_female_ST,area_hectare,govt_pre_primary_school_UKG,pvt_pre_primary_school_UKG,govt_primary_school,pvt_primary_school,govt_middle_school,pvt_middle_school,govt_secondary_school,pvt_secondary_school,govt_senior_secondary_school,pvt_senior_secondary_school,govt_art_science_degree_college,pvt_art_science_degree_college,govt_engineering_college,pvt_engineering_college,govt_medicine_college,pvt_medicine_college,govt_management_college,pvt_management_college,govt_polytechnic_college,pvt_polytechnic_college,govt_vocational_ITI_training,pvt_vocational_ITI_training,govt_non_formal_training_centre,pvt_non_formal_training_centre,govt_disabled_school,pvt_disabled_school,govt_other_education,pvt_other_education
25.0,DAMAN & DIU,495.0,Daman,7413.0,32313.0,18367.0,13946.0,1674.0,850.0,824.0,7615.0,3842.0,3773.0,2161.6799999999994,29.0,0.0,17.0,1.0,9.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
26.0,Dadra & Nagar Haveli,496.0,Dadra & Nagar Haveli,36094.0,183114.0,98305.0,84809.0,1296.0,771.0,525.0,150944.0,75049.0,75895.0,44311.95,198.0,1.0,225.0,10.0,0.0,0.0,12.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,Maharashtra,497.0,Nandurbar,272783.0,1372821.0,687671.0,685150.0,30550.0,15453.0,15097.0,1094302.0,544172.0,550130.0,484203.4999999997,2336.0,0.0,1525.0,65.0,612.0,131.0,270.0,75.0,124.0,40.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
27.0,Maharashtra,498.0,Dhule,296717.0,1479826.0,758916.0,720910.0,82299.0,42087.0,40212.0,607824.0,306730.0,301094.0,653696.8099999996,2126.0,8.0,1315.0,59.0,534.0,101.0,321.0,27.0,239.0,20.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0
27.0,Maharashtra,499.0,Jalgaon,624570.0,2887206.0,1500514.0,1386692.0,267718.0,137458.0,130260.0,537071.0,275373.0,261698.0,1091350.7099999995,4347.0,25.0,2028.0,91.0,1130.0,146.0,515.0,59.0,188.0,9.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0
27.0,Maharashtra,500.0,Buldana,451284.0,2037398.0,1055242.0,982156.0,395137.0,202996.0,192141.0,116176.0,59525.0,56651.0,963304.5499999998,3300.0,16.0,1537.0,81.0,963.0,149.0,340.0,80.0,143.0,47.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0
27.0,Maharashtra,501.0,Akola,250160.0,1094165.0,563933.0,530232.0,253575.0,130266.0,123309.0,85661.0,43797.0,41864.0,540741.85,1952.0,11.0,963.0,53.0,548.0,97.0,241.0,34.0,109.0,21.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0
27.0,Maharashtra,502.0,Washim,218403.0,985747.0,511727.0,474020.0,200187.0,103178.0,97009.0,77404.0,39801.0,37603.0,507430.25000000006,1699.0,8.0,813.0,60.0,525.0,105.0,194.0,54.0,93.0,18.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
27.0,Maharashtra,503.0,Amravati,430282.0,1851158.0,950633.0,900525.0,346056.0,178148.0,167908.0,368630.0,187465.0,181165.0,959263.47,3521.0,24.0,1768.0,55.0,1000.0,115.0,412.0,61.0,168.0,13.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0
27.0,Maharashtra,504.0,Wardha,212493.0,877474.0,451874.0,425600.0,114889.0,59201.0,55688.0,125090.0,64327.0,60763.0,575804.22,1863.0,10.0,974.0,38.0,478.0,56.0,185.0,19.0,64.0,6.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0
27.0,Maharashtra,505.0,Nagpur,339997.0,1474811.0,758357.0,716454.0,234062.0,119694.0,114368.0,200154.0,102275.0,97879.0,821295.8499999999,3159.0,7.0,1593.0,137.0,818.0,151.0,309.0,55.0,108.0,19.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0
27.0,Maharashtra,506.0,Bhandara,224933.0,966503.0,487484.0,479019.0,155163.0,77939.0,77224.0,78943.0,39532.0,39411.0,329809.6899999999,1750.0,4.0,842.0,55.0,480.0,98.0,215.0,25.0,91.0,16.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0
27.0,Maharashtra,507.0,Gondiya,243840.0,1096577.0,547934.0,548643.0,135393.0,67401.0,67992.0,201913.0,99729.0,102184.0,463234.0899999997,2009.0,0.0,1101.0,49.0,628.0,91.0,230.0,40.0,105.0,33.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,Maharashtra,508.0,Gadchiroli,222413.0,954909.0,481290.0,473619.0,101879.0,51541.0,50338.0,398266.0,198753.0,199513.0,885634.0299999993,2448.0,6.0,1567.0,52.0,667.0,84.0,232.0,78.0,92.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
27.0,Maharashtra,509.0,Chandrapur,356228.0,1428929.0,726106.0,702823.0,187643.0,95203.0,92440.0,323796.0,163363.0,160433.0,816841.5699999984,3035.0,4.0,1719.0,61.0,825.0,105.0,280.0,55.0,100.0,33.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0
27.0,Maharashtra,510.0,Yavatmal,515502.0,2174195.0,1115148.0,1059047.0,249800.0,127461.0,122339.0,473752.0,240656.0,233096.0,1351549.8999999994,4116.0,9.0,2238.0,103.0,1238.0,160.0,423.0,83.0,163.0,71.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0
27.0,Maharashtra,511.0,Nanded,494341.0,2447394.0,1258160.0,1189234.0,473434.0,243159.0,230275.0,241712.0,123467.0,118245.0,1061923.4300000004,4006.0,2.0,2338.0,73.0,1391.0,177.0,421.0,79.0,144.0,42.0,6.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0
27.0,Maharashtra,512.0,Hingoli,196255.0,998612.0,514430.0,484182.0,161751.0,82844.0,78907.0,106739.0,54901.0,51838.0,478059.47000000026,1321.0,5.0,1056.0,33.0,596.0,21.0,125.0,23.0,47.0,28.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,52.0
27.0,Maharashtra,513.0,Parbhani,256399.0,1266280.0,651886.0,614394.0,172674.0,88291.0,84383.0,32150.0,16332.0,15818.0,621915.6900000006,1672.0,1.0,1382.0,45.0,724.0,41.0,159.0,57.0,47.0,72.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,63.0
27.0,Maharashtra,514.0,Jalna,320908.0,1581617.0,817279.0,764338.0,226345.0,115749.0,110596.0,35876.0,18543.0,17333.0,775119.95,2073.0,1.0,1696.0,67.0,890.0,60.0,201.0,66.0,87.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,86.0
27.0,Maharashtra,515.0,Aurangabad,420950.0,2081112.0,1081825.0,999287.0,246659.0,126700.0,119959.0,118070.0,60537.0,57533.0,1038516.6699999992,2803.0,4.0,2272.0,135.0,1055.0,83.0,312.0,94.0,134.0,49.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,5.0,0.0,0.0,495.0
27.0,Maharashtra,516.0,Nashik,677310.0,3509814.0,1804712.0,1705102.0,231171.0,117824.0,113347.0,1399280.0,707246.0,692034.0,1526027.8900000008,4645.0,8.0,3848.0,82.0,1464.0,53.0,610.0,124.0,194.0,17.0,20.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,7.0,0.0,0.0,3.0,0.0,0.0,195.0
27.0,Maharashtra,517.0,Thane,541599.0,2545470.0,1300136.0,1245334.0,84982.0,43891.0,41091.0,1265162.0,627288.0,637874.0,906260.3200000004,3572.0,10.0,3536.0,103.0,1236.0,94.0,351.0,100.0,117.0,20.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,3.0,0.0,0.0,1841.0
27.0,Maharashtra,520.0,Raigarh,381204.0,1664005.0,836996.0,827009.0,64338.0,31985.0,32353.0,270768.0,135959.0,134809.0,667925.6300000006,2719.0,13.0,2825.0,84.0,982.0,62.0,245.0,106.0,63.0,14.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,367.0
27.0,Maharashtra,521.0,Pune,779972.0,3678226.0,1903440.0,1774786.0,361029.0,185088.0,175941.0,255389.0,129711.0,125678.0,1568801.3899999976,4343.0,17.0,3948.0,177.0,1511.0,142.0,644.0,144.0,232.0,24.0,45.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,35.0,28.0,0.0,0.0,17.0,0.0,0.0,619.0
27.0,Maharashtra,522.0,Ahmadnagar,739083.0,3630542.0,1872907.0,1757635.0,443302.0,225820.0,217482.0,354975.0,179133.0,175842.0,1672918.5900000003,4290.0,2.0,3959.0,115.0,1394.0,88.0,682.0,143.0,348.0,50.0,10.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,18.0,14.0,0.0,0.0,11.0,0.0,1.0,97.0
27.0,Maharashtra,523.0,Bid,435588.0,2070751.0,1082978.0,987773.0,278869.0,143031.0,135838.0,26681.0,13659.0,13022.0,1088586.1099999994,2654.0,1.0,2441.0,82.0,1086.0,88.0,381.0,101.0,155.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,7.0,0.0,0.0,162.0
27.0,Maharashtra,524.0,Latur,363409.0,1829216.0,949707.0,879509.0,369609.0,190913.0,178696.0,48147.0,24970.0,23177.0,726803.6600000005,2225.0,1.0,1721.0,63.0,1021.0,32.0,434.0,33.0,155.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,13.0,0.0,0.0,4.0,0.0,0.0,60.0
