state_code,state_name,district_code,district_name,total_households,total_population,total_population_male,total_population_female,total_population_sc,total_population_male_sc,total_population_female_sc,total_population_st,total_population_male_st,total_population_female_st,area_km,govt_primary_school,pvt_primary_school,govt_middle_school,pvt_middle_school,govt_secondary_school,pvt_secondary_school,govt_senior_secondary_school,pvt_senior_secondary_school,govt_art_degree_college,pvt_art_degree_college,govt_science_college,pvt_science_college,govt_commerce_college,pvt_commerce_college,govt_art_science_degree_college,pvt_art_science_degree_college,govt_art_commerce_degree_college,pvt_art_commerce_degree_college,govt_art_science_commerce_degree_college,pvt_art_science_commerce_degree_college,govt_law_degree_college,pvt_law_degree_college,govt_university,pvt_university,govt_other_degree_college,pvt_other_degree_college,govt_medical_college,pvt_medical_college,govt_engineering_college,pvt_engineering_college,govt_management_college,pvt_management_college,govt_polytechnic_college,pvt_polytechnic_college,govt_disabled_school,pvt_disabled_school
31,lakshadweep,587,lakshadweep,8864.0,50332,25880.0,24452.0,0.0,0.0,0.0,47657.0,23763.0,23894.0,21.37,39.0,8.0,14.0,0.0,10.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,kerala,588,kasaragod,104170.0,509047,240897.0,268150.0,18761.0,9178.0,9583.0,2763.0,1276.0,1487.0,290.36999999999995,106.0,63.0,61.0,37.0,38.0,22.0,33.0,13.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0
32,kerala,589,kannur,352069.0,1640986,755764.0,885222.0,59788.0,28755.0,31033.0,5069.0,2442.0,2627.0,1003.66,231.0,437.0,134.0,167.0,80.0,52.0,73.0,33.0,1.0,40.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,36.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,5.0,5.0,0.0,6.0,11.0
32,kerala,590,wayanad,7519.0,31580,15401.0,16179.0,2200.0,1125.0,1075.0,3228.0,1465.0,1763.0,40.74,3.0,8.0,2.0,5.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,kerala,591,kozhikode,462007.0,2072572,986158.0,1086414.0,123701.0,60262.0,63439.0,5673.0,2729.0,2944.0,944.15,327.0,287.0,128.0,132.0,49.0,39.0,61.0,43.0,4.0,22.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,4.0,9.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,5.0,14.0
32,kerala,592,malappuram,345962.0,1817211,865020.0,952191.0,115996.0,57190.0,58806.0,4743.0,2345.0,2398.0,899.59,361.0,222.0,138.0,114.0,53.0,79.0,49.0,54.0,3.0,21.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,15.0,5.0,9.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,6.0,12.0
32,kerala,593,palakkad,154935.0,676810,328012.0,348798.0,80882.0,39559.0,41323.0,1949.0,997.0,952.0,399.69,164.0,60.0,60.0,40.0,34.0,34.0,29.0,28.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,6.0
32,kerala,594,thrissur,508333.0,2096406,992460.0,1103946.0,202511.0,97865.0,104646.0,3571.0,1644.0,1927.0,1161.1700000000008,345.0,318.0,191.0,189.0,109.0,122.0,72.0,89.0,5.0,46.0,0.0,0.0,0.0,4.0,0.0,4.0,8.0,3.0,14.0,29.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,1.0,9.0,8.0,2.0,2.0,16.0
32,kerala,595,ernakulam,554096.0,2234363,1101047.0,1133316.0,166008.0,81315.0,84693.0,8235.0,4124.0,4111.0,925.2599999999996,263.0,288.0,132.0,225.0,114.0,163.0,67.0,114.0,11.0,47.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,14.0,42.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,5.0,6.0,10.0,8.0,26.0,6.0,4.0,9.0,23.0
32,kerala,596,idukki,12604.0,52045,25563.0,26482.0,2146.0,1045.0,1101.0,572.0,260.0,312.0,35.43,2.0,7.0,3.0,2.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
